SS_GROUP,Village,Surface,soil_0,soil_10,soil_11,soil_12,soil_16,soil_17,soil_18,soil_2,soil_22,soil_24,soil_25,soil_26,soil_29,soil_4,soil_5,soil_6
1,3701,9.05886,,,,,,,,,,,,,,1.0,,
1,3707,8.64777,,,,,,,,,,,,,,1.0,,
1,3709,15.4002,,,,,,,,,,,,,,1.0,,
1,3711,4.09266,,,,,,,,,,,,,,1.0,,
1,3716,8.19142,,,,,,,,,,,,,,1.0,,
1,3717,4.553,,,,,,,,,,,,,,1.0,,
1,3718,5.87297,,,,,,,,,,,,,,1.0,,
1,3719,20.9489,,,,,,,,,,,,,,1.0,,
1,3720,37.3671,0.13812684305872602,,,,0.0020674752431009687,,,,,,,,,0.8563693672469678,,0.003436314451205146
1,3721,33.5088,0.0032381513099793936,,0.03302914336178982,,0.0011548651525101334,,,,,,,,,0.9625778401757207,,
1,3722,4.7788,,,,,,,,,,,,,,1.0,,
1,3723,5.80476,,,,,,,,,,,,,,1.0,,
1,3724,12.2924,,,,,,,,,,,,,,1.0,,
1,3725,8.44717,,,,,,,,,,,,,,1.0,,
1,3726,14.2919,,,,,,,,,,,,,,1.0,,
1,3729,8.49137,,,,,,,,,,,,,,1.0,,
1,3730,9.67315,,,,,,,,,,,,,,1.0,,
1,3731,7.97672,,,,,,,,,,,,,,1.0,,
1,3732,5.14491,,,,,,,,,,,,,,1.0,,
1,3733,4.41593,,,,,,,,,,,,,,1.0,,
1,3734,7.18036,,,,,,,,,,,,,,1.0,,
1,3736,9.35654,,,,,,,,,,,,,,1.0,,
1,3737,15.8099,,,,,,,,,,,,,,1.0,,
1,3738,21.6204,0.012045909234495104,,,,,,,,,,,,,0.9879540907655049,,
1,3739,14.8987,,,,,,,,,,,,,,1.0,,
1,3740,16.3517,,,,,,,,,,,,,,1.0,,
1,3741,13.5525,,,,,,,,,,,,,,1.0,,
1,3742,8.01169,,,,,,,,,,,,,,1.0,,
1,3743,5.23073,,,,,,,,,,,,,,1.0,,
1,3744,4.07575,,,,,,,,,,,,,,1.0,,
1,3745,4.6766,,,,,,,,,,,,,,1.0,,
1,3746,7.70542,,,,,,,,,,,,,,1.0,,
1,3747,4.6213,,,,,,,,,,,,,,1.0,,
1,3748,7.49013,,,,,,,,,,,,,,1.0,,
1,3749,6.49359,,,,,,,,,,,,,,1.0,,
1,3750,8.75704,,,,,,,,,,,,,,1.0,,
1,3751,2.93668,,,,,,,,,,,,,,1.0,,
1,3752,2.70651,,,,,,,,,,,,,,1.0,,
1,3753,6.91288,,,,,,,,,,,,,,1.0,,
1,3754,9.03992,,,,,,,,,,,,,,1.0,,
1,3755,4.16061,,,,,,,,,,,,,,1.0,,
1,3756,6.45687,,,,,,,,,,,,,,1.0,,
1,3757,5.24059,,,,,,,,,,,,,,1.0,,
1,3758,5.93815,,,,,,,,,,,,,,1.0,,
1,3759,7.58282,,,,,,,,,,,,,,1.0,,
1,3760,9.60518,,,,,,,,,,,,,,1.0,,
1,3761,9.76534,,,,,,,,,,,,,,1.0,,
1,3762,12.4575,,,,,,,,,,,,,,1.0,,
1,3764,6.86854,,,,,,,,,,,,,,1.0,,
1,3765,3.36914,,,,,,,,,,,,,,1.0,,
1,3766,13.9823,,,,,,,,,,,,,,1.0,,
1,3767,9.77083,,,,,,,,,,,,,,1.0,,
1,3768,10.0494,,,,,,,,,,,,,,1.0,,
1,3769,6.86382,,,,,,,,,,,,,,1.0,,
1,3770,11.5231,,,,,,,,,,,,,,1.0,,
1,3771,6.16606,,,,,,,,,,,,,,1.0,,
1,3772,10.5359,,,,,,,,,,,,,,1.0,,
1,3773,5.85066,,,,,,,,,,,,,,1.0,,
1,3774,11.0593,,,,,,,,,,,,,,1.0,,
1,3775,11.2982,,,,,,,,,,,,,,1.0,,
1,3776,14.8234,,,,,,,,,,,,,,1.0,,
1,3777,9.91422,,,,,,,,,,,,,,1.0,,
1,3778,6.58445,,,,,,,,,,,,,,1.0,,
1,3779,5.24098,,,,,,,,,,,,,,1.0,,
1,3780,7.77298,,,,,,,,,,,,,,1.0,,
1,3781,9.38666,,,,,,,,,,,,,,1.0,,
1,3782,6.05609,,,,,,,,,,,,,,1.0,,
1,3783,5.79705,,,,,,,,,,,,,,1.0,,
1,3784,12.5421,,,,,,,,,,,,,,1.0,,
1,3785,12.6175,,,,,,,,,,,,,,1.0,,
1,3786,7.9795,,,,,,,,,,,,,,1.0,,
1,3787,5.17602,,,,,,,,,,,,,,1.0,,
1,3788,5.89427,,,,,,,,,,,,,,1.0,,
1,3789,12.6497,,,,,,,,,,,,,,1.0,,
1,3790,5.86332,,,,,,,,,,,,,,1.0,,
1,3791,5.38737,,,,,,,,,,,,,,1.0,,
1,3792,5.01444,,,,,,,,,,,,,,1.0,,
1,3793,7.7766,,,,,,,,,,,,,,1.0,,
1,3794,6.49299,,,,,,,,,,,,,,1.0,,
1,3795,6.39915,,,,,,,,,,,,,,1.0,,
1,3796,10.8638,,,,,,,,,,,,,,1.0,,
1,3797,10.5638,,,,,,,,,,,,,,1.0,,
1,3798,6.50091,,,,,,,,,,,,,,1.0,,
1,3799,10.4448,,,,,,,,,,,,,,1.0,,
1,3800,6.8357,,,,,,,,,,,,,,1.0,,
1,3801,8.77275,,,,,,,,,,,,,,1.0,,
1,3802,5.27987,,,,,,,,,,,,,,1.0,,
1,3803,6.51868,,,,,,,,,,,,,,1.0,,
1,3804,9.71029,,,,,,,,,,,,,,1.0,,
1,3805,5.51837,,,,,,,,,,,,,,1.0,,
1,3806,10.299,,,,,,,,,,,,,,1.0,,
1,3807,4.1367,,,,,,,,,,,,,,1.0,,
1,3808,4.9208,,,,,,,,,,,,,,1.0,,
1,3809,6.19923,,,,,,,,,,,,,,1.0,,
1,3810,10.1719,,,,,,,,,,,,,,1.0,,
1,3811,9.01392,,,,,,,,,,,,,,1.0,,
1,3812,13.2198,,,,,,,,,,,,,,1.0,,
1,3813,12.4847,,,,,,,,,,,,,,1.0,,
1,3814,8.84557,,,,,,,,,,,,,,1.0,,
1,3815,6.26117,,,,,,,,,,,,,,1.0,,
1,3816,7.03055,,,,,,,,,,,,,,1.0,,
1,3817,4.97494,,,,,,,,,,,,,,1.0,,
1,3818,6.25999,,,,,,,,,,,,,,1.0,,
1,3819,6.58763,,,,,,,,,,,,,,1.0,,
1,3820,7.65478,,,,,,,,,,,,,,1.0,,
1,3821,5.54591,,,,,,,,,,,,,,1.0,,
1,3822,8.38677,,,,,,,,,,,,,,1.0,,
1,3823,4.48789,,,,,,,,,,,,,,1.0,,
1,3824,5.32102,,,,,,,,,,,,,,1.0,,
1,3825,4.25645,,,,,,,,,,,,,,1.0,,
1,3826,5.98301,,,,,,,,,,,,,,1.0,,
1,3827,8.07729,,,,,,,,,,,,,,1.0,,
1,3828,6.75376,,,,,,,,,,,,,,1.0,,
1,3829,7.75778,,,,,,,,,,,,,,1.0,,
1,3830,6.61149,,,,,,,,,,,,,,1.0,,
1,3831,6.09037,,,,,,,,,,,,,,1.0,,
1,3832,7.71691,,,,,,,,,,,,,,1.0,,
1,3833,10.8195,,,,,,,,,,,,,,1.0,,
1,3834,7.47371,,,,,,,,,,,,,,1.0,,
1,3835,6.70015,,,,,,,,,,,,,,1.0,,
1,3836,6.77658,,,,,,,,,,,,,,1.0,,
1,3837,9.19056,,,,,,,,,,,,,,1.0,,
1,3838,7.57878,,,,,,,,,,,,,,1.0,,
1,3839,4.19692,,,,,,,,,,,,,,1.0,,
1,3840,10.336,,,,,,,,,,,,,,1.0,,
1,3841,5.25628,,,,,,,,,,,,,,1.0,,
1,3842,5.54386,,,,,,,,,,,,,,1.0,,
1,3843,6.83261,,,,,,,,,,,,,,1.0,,
1,3844,6.88942,,,,,,,,,,,,,,1.0,,
