SS_GROUP,Village,Surface,Agro_1,Agro_12,Agro_13,Agro_14,Agro_15,Agro_16,Agro_2,Agro_3,Agro_4,Agro_5,Agro_6,Agro_7,Agro_8,Agro_9
1,3752,2.70651,,,,,,,,,,,1.0,,,
1,3753,6.91288,,,,,,,,,,,1.0,,,
1,3754,9.03992,,,,,,,,,,,1.0,,,
1,3755,4.16061,,,1.0,,,,,,,,,,,
1,3756,6.45687,,,1.0,,,,,,,,,,,
1,3757,5.24059,,,1.0,,,,,,,,,,,
1,3758,5.93815,,,1.0,,,,,,,,,,,
1,3759,7.58282,,,1.0,,,,,,,,,,,
1,3760,9.60518,,,0.08425333649214248,,,,,,,,0.9157466635078576,,,
1,3761,9.76534,,,0.6394317612371663,,,,,,,,0.3605682387628337,,,
1,3762,12.4575,,,0.9969372781353321,,,,,,,,0.003062721864667879,,,
1,3764,6.86854,,,1.0,,,,,,,,,,,
1,3765,3.36914,,,1.0,,,,,,,,,,,
1,3766,13.9823,,,0.7342049644447217,,,,,,,,0.2657950355552783,,,
1,3767,9.77083,,,1.0,,,,,,,,,,,
1,3768,10.0494,,,0.6832027522475015,,,,,,,,0.31679724775249857,,,
1,3769,6.86382,,,,,,,,,,,1.0,,,
1,3770,11.5231,,,,,,,,,,,1.0,,,
1,3771,6.16606,,,1.0,,,,,,,,,,,
1,3772,10.5359,,,0.08092414801055468,,,,,,,,0.9190758519894453,,,
1,3773,5.85066,,,1.0,,,,,,,,,,,
1,3774,11.0593,,,0.734381324131686,,,,,,,,0.26561867586831395,,,
1,3775,11.2982,,,,,,,,,,,1.0,,,
1,3776,14.8234,,,9.084651034242733E-4,,,,,,,,0.9990915348965757,,,
1,3777,9.91422,,,1.0,,,,,,,,,,,
1,3778,6.58445,,,1.0,,,,,,,,,,,
1,3779,5.24098,,,1.0,,,,,,,,,,,
1,3780,7.77298,,,1.0,,,,,,,,,,,
1,3781,9.38666,,,1.0,,,,,,,,,,,
1,3782,6.05609,,,1.0,,,,,,,,,,,
1,3783,5.79705,,,1.0,,,,,,,,,,,
1,3784,12.5421,,,1.0,,,,,,,,,,,
1,3785,12.6175,,,1.0,,,,,,,,,,,
1,3786,7.9795,,,1.0,,,,,,,,,,,
1,3787,5.17602,,,0.2486809321412867,,,,,,,,0.7513190678587134,,,
1,3788,5.89427,,,0.9699122332895787,,,,,,,,0.030087766710421328,,,
1,3789,12.6497,,,1.0,,,,,,,,,,,
1,3790,5.86332,,,1.0,,,,,,,,,,,
1,3791,5.38737,,,1.0,,,,,,,,,,,
1,3792,5.01444,,,1.0,,,,,,,,,,,
1,3793,7.7766,,,1.0,,,,,,,,,,,
1,3794,6.49299,,,1.0,,,,,,,,,,,
1,3795,6.39915,,,1.0,,,,,,,,,,,
1,3796,10.8638,,,1.0,,,,,,,,,,,
1,3797,10.5638,,,1.0,,,,,,,,,,,
1,3798,6.50091,,,1.0,,,,,,,,,,,
1,3799,10.4448,,,1.0,,,,,,,,,,,
1,3800,6.8357,,,1.0,,,,,,,,,,,
1,3801,8.77275,,,1.0,,,,,,,,,,,
1,3802,5.27987,,,1.0,,,,,,,,,,,
1,3803,6.51868,,,1.0,,,,,,,,,,,
1,3804,9.71029,,,1.0,,,,,,,,,,,
1,3805,5.51837,,,1.0,,,,,,,,,,,
1,3806,10.299,,,1.0,,,,,,,,,,,
1,3807,4.1367,,,1.0,,,,,,,,,,,
1,3808,4.9208,,,1.0,,,,,,,,,,,
1,3809,6.19923,,,1.0,,,,,,,,,,,
1,3810,10.1719,,,1.0,,,,,,,,,,,
1,3811,9.01392,,,1.0,,,,,,,,,,,
1,3812,13.2198,,,1.0,,,,,,,,,,,
1,3813,12.4847,,,1.0,,,,,,,,,,,
1,3814,8.84557,,,1.0,,,,,,,,,,,
1,3815,6.26117,,,1.0,,,,,,,,,,,
1,3816,7.03055,,,1.0,,,,,,,,,,,
1,3817,4.97494,,,1.0,,,,,,,,,,,
1,3818,6.25999,,,1.0,,,,,,,,,,,
1,3819,6.58763,,,1.0,,,,,,,,,,,
1,3820,7.65478,,,1.0,,,,,,,,,,,
1,3821,5.54591,,,1.0,,,,,,,,,,,
1,3822,8.38677,,,1.0,,,,,,,,,,,
1,3823,4.48789,,,1.0,,,,,,,,,,,
1,3824,5.32102,,,1.0,,,,,,,,,,,
